level,group,k,n,ite_column,ite_mean,ite_median,ite_sd,ite_p10,ite_p90
cluster_k2,0,2,7660,ite_causal_forest,-0.0096851850540503,0.003029777319679905,0.09530161205909685,-0.1320706702637502,0.09216467587389567
cluster_k2,1,2,2979,ite_causal_forest,0.014228146039790975,0.010007556032148646,0.11188947218118282,-0.12047730617463732,0.15531178610392038
scan_group_k2,benefit_apparent,2,10639,ite_causal_forest,-0.002989272531392798,0.004833962699631086,0.10079163543300301,-0.12850351741147287,0.10806279373679067
article_label_k2,macro_benefit_relative,2,7660,ite_causal_forest,-0.0096851850540503,0.003029777319679905,0.09530161205909685,-0.1320706702637502,0.09216467587389567
article_label_k2,macro_risk_high_support,2,2979,ite_causal_forest,0.014228146039790975,0.010007556032148646,0.11188947218118282,-0.12047730617463732,0.15531178610392038
cluster_k3,0,3,137,ite_causal_forest,-0.0504806544564387,-0.023045504990019172,0.11135600003576683,-0.19307959312006612,0.06028742897670109
cluster_k3,1,3,2991,ite_causal_forest,0.014215125442696763,0.010007556032148646,0.11176198711746024,-0.12040856646686127,0.15465794116502662
cluster_k3,2,3,7511,ite_causal_forest,-0.008974099454142178,0.0034810276220263447,0.09485701379228031,-0.13032425284877358,0.09261523217575285
scan_group_k3,benefit_apparent,3,10639,ite_causal_forest,-0.002989272531392798,0.004833962699631086,0.10079163543300301,-0.12850351741147287,0.10806279373679067
article_label_k3,benefit_apparent,3,10639,ite_causal_forest,-0.002989272531392798,0.004833962699631086,0.10079163543300301,-0.12850351741147287,0.10806279373679067
cluster_k5,0,5,1955,ite_causal_forest,-0.01831116665037619,-0.006247368113466115,0.09924474231339583,-0.15261641724689212,0.0962434681222034
cluster_k5,1,5,2295,ite_causal_forest,0.019195448781727537,0.014011843325767812,0.1162955448774994,-0.12122976716671767,0.16494138796564506
cluster_k5,2,5,1902,ite_causal_forest,-0.0012100696818916634,0.0034748941114732465,0.09404462286250026,-0.11736020357694425,0.10498228681085131
cluster_k5,3,5,137,ite_causal_forest,-0.0504806544564387,-0.023045504990019172,0.11135600003576683,-0.19307959312006612,0.06028742897670109
cluster_k5,4,5,4350,ite_causal_forest,-0.007089814349098201,0.006851081145476473,0.0926391859321739,-0.12401909488188075,0.08875754173452721
scan_group_k5,benefit_apparent,5,6782,ite_causal_forest,0.0009284890703266629,0.00836048425596285,0.10264366410272359,-0.12488234417662082,0.11331312892341316
scan_group_k5,harm_apparent,5,1955,ite_causal_forest,-0.01831116665037619,-0.006247368113466115,0.09924474231339583,-0.15261641724689212,0.0962434681222034
scan_group_k5,neutral_apparent,5,1902,ite_causal_forest,-0.0012100696818916634,0.0034748941114732465,0.09404462286250026,-0.11736020357694425,0.10498228681085131
article_label_k5,benefit_apparent,5,6782,ite_causal_forest,0.0009284890703266629,0.00836048425596285,0.10264366410272359,-0.12488234417662082,0.11331312892341316
article_label_k5,harm_apparent,5,1955,ite_causal_forest,-0.01831116665037619,-0.006247368113466115,0.09924474231339583,-0.15261641724689212,0.0962434681222034
article_label_k5,neutral_apparent,5,1902,ite_causal_forest,-0.0012100696818916634,0.0034748941114732465,0.09404462286250026,-0.11736020357694425,0.10498228681085131
cluster_k6,0,6,1915,ite_causal_forest,-0.018087417565201602,-0.006247368113466115,0.09926091192298053,-0.15261641724689212,0.09632598672383132
cluster_k6,1,6,1102,ite_causal_forest,0.03435852449581857,0.03088514411833536,0.1307991199683837,-0.1255713319201928,0.20207507068955663
cluster_k6,2,6,1851,ite_causal_forest,-0.0017617131356749206,0.0032391197170020813,0.09536630255426665,-0.1184184086962411,0.10449353320593874
cluster_k6,3,6,137,ite_causal_forest,-0.0504806544564387,-0.023045504990019172,0.11135600003576683,-0.19307959312006612,0.06028742897670109
cluster_k6,4,6,1346,ite_causal_forest,0.0048857369765794596,0.0054676862660996,0.09652183182637541,-0.11387927219330712,0.11765682920216161
cluster_k6,5,6,4288,ite_causal_forest,-0.007329286640468411,0.006973049029849521,0.09275663203221275,-0.12473242856471241,0.0889311265369296
scan_group_k6,benefit_apparent,6,5771,ite_causal_forest,-0.005504700884488771,0.0058719433575838,0.09450981349479909,-0.12441819770821527,0.09375911212143007
scan_group_k6,harm_apparent,6,3017,ite_causal_forest,0.0010691711491650638,0.0041444571905377425,0.11461279267640127,-0.14137112931639675,0.134597058726797
scan_group_k6,neutral_apparent,6,1851,ite_causal_forest,-0.0017617131356749206,0.0032391197170020813,0.09536630255426665,-0.1184184086962411,0.10449353320593874
article_label_k6,benefit_apparent,6,5771,ite_causal_forest,-0.005504700884488771,0.0058719433575838,0.09450981349479909,-0.12441819770821527,0.09375911212143007
article_label_k6,harm_apparent,6,3017,ite_causal_forest,0.0010691711491650638,0.0041444571905377425,0.11461279267640127,-0.14137112931639675,0.134597058726797
article_label_k6,neutral_apparent,6,1851,ite_causal_forest,-0.0017617131356749206,0.0032391197170020813,0.09536630255426665,-0.1184184086962411,0.10449353320593874
